,Holder,Shares,Date Reported,% Out,Value,Ticker
0,Parametric Tax-Managed Emerging Markets Fund,140342.0,2022-06-30,0.0025,258930.0,APG1L.VS
1,Parametric Emerging Markets Fund,97326.0,2022-07-31,0.0018,189785.0,APG1L.VS
0,iShares MSCI Frontier and Select EM ETF,64576.0,2022-09-30,0.0009,1225652.0,IGN1L.VS
0,Parametric Tax-Managed Emerging Markets Fund,1346757.0,2022-06-30,0.0034999999999999996,350156.0,KNF1L.VS
1,Parametric Emerging Markets Fund,432131.0,2022-07-31,0.0011,110193.0,KNF1L.VS
0,Parametric Tax-Managed Emerging Markets Fund,7278.0,2022-06-30,0.0004,101309.0,MRK1T.TL
1,Parametric Emerging Markets Fund,5570.0,2022-07-31,0.0003,74638.0,MRK1T.TL
0,Parametric Tax-Managed Emerging Markets Fund,201949.0,2022-06-30,0.0124,110264.0,PTR1L.VS
0,Parametric Tax-Managed Emerging Markets Fund,157707.0,2022-06-30,0.0044,473121.0,RSU1L.VS
1,Parametric Emerging Markets Fund,110172.0,2022-07-31,0.0031,332719.0,RSU1L.VS
0,"Harding, Loevner Funds, Inc-International Small Companies Portfolio",13577650.0,2022-07-31,0.0226,7752838.0,SAB1L.VS
1,Global Macro Capital Opportunities Portfolio,2442564.0,2022-07-31,0.0040999999999999995,1394704.0,SAB1L.VS
2,Parametric Tax-Managed Emerging Markets Fund,1108958.0,2022-06-30,0.0018,613253.0,SAB1L.VS
3,iShares MSCI Frontier and Select EM ETF,955030.0,2022-09-30,0.0016,509030.0,SAB1L.VS
4,Parametric Emerging Markets Fund,400003.0,2022-07-31,0.0007000000000000001,228401.0,SAB1L.VS
0,Parametric Tax-Managed Emerging Markets Fund,3405412.0,2022-06-30,0.0046,1750381.0,TAL1T.TL
1,Parametric Emerging Markets Fund,1117408.0,2022-07-31,0.0015,585521.0,TAL1T.TL
2,iShares MSCI Frontier and Select EM ETF,1059686.0,2022-09-30,0.0014000000000000002,495403.0,TAL1T.TL
0,Parametric Tax-Managed Emerging Markets Fund,113132.0,2022-06-30,0.0028000000000000004,1135845.0,TKM1T.TL
1,Parametric Emerging Markets Fund,43232.0,2022-07-31,0.0011,431887.0,TKM1T.TL
2,SEI Institutional Investment Tr-World Select Equity Fund,10570.0,2022-06-30,0.0003,106122.0,TKM1T.TL
