,log_return
APG1L.VS,0.020726172446011715
ARC1T.TL,-0.11318233137615619
AUG1L.VS,-0.2043140276298836
BLT1T.TL,-0.392561709474871
CPA1T.TL,-0.06829452174862582
DGR1R.RG,0.05888187930950295
EEG1T.TL,-0.16885332577756074
EGR1T.TL,0.12216435192949904
GRG1L.VS,-0.12643080198566622
HAE1T.TL,-0.118968580560882
HMX1R.RG,-0.06097680876449396
HPR1T.TL,-0.16811177370146657
IGN1L.VS,0.07093151857640434
KNF1L.VS,-0.24794172985476615
LHV1T.TL,-0.14852826527474394
MRK1T.TL,-0.051179217914162134
NCN1T.TL,-0.16874096883317882
NTU1L.VS,-0.2399727990721061
PKG1T.TL,-0.5695751073166995
PTR1L.VS,-0.0738472455273046
PZV1L.VS,-0.14107865529784291
RSU1L.VS,-0.019802608596683147
SAB1L.VS,0.0642350929974625
SFG1T.TL,0.3480933879606809
TAL1T.TL,-0.08535988006789286
TEL1L.VS,-0.020305246499891516
TKM1T.TL,-0.05902017108936741
TSM1T.TL,-0.06713923833043767
TVE1T.TL,-0.040814103772692345
VLP1L.VS,0.12377808928519896
